Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE
2002-07-16,35.59080123901367,9.58157730102539,,6.4000000953674325,11.153834342956543,3.1593546867370605,13.233749389648438,9.399999618530273,14.03672695159912,2.393398761749268,9.669499397277832,14.382447242736815,26.513843536376953,1.350000023841858,4.867251396179199,10.83933162689209,23.741146087646484,3.462500095367432,2.200000047683716,
2002-07-17,36.06986618041992,9.866738319396973,,6.179999828338622,11.153834342956543,3.148206949234009,13.388150215148926,9.329999923706056,14.633838653564453,2.37805700302124,9.410614967346193,14.030447959899902,26.91717529296875,1.5,4.8605079650878915,10.794891357421877,23.98661231994629,3.4925000667572017,2.2799999713897705,
2002-07-18,35.82114028930664,9.43043613433838,,6.28000020980835,10.370457649230957,3.0021674633026123,12.885098457336426,8.720000267028809,14.943334579467773,2.1402506828308105,8.960091590881348,13.41909122467041,26.44267272949219,1.4199999570846558,4.754843711853027,10.643061637878418,23.132801055908203,3.327500104904175,2.450000047683716,
2002-07-19,33.435096740722656,9.165230751037598,,6.289999961853027,11.079228401184082,2.853898763656616,12.147953033447266,8.489999771118164,14.321215629577635,2.324359178543091,8.563359260559082,12.813899993896484,25.25634384155273,1.190000057220459,4.5862321853637695,10.31717586517334,22.449752807617188,3.3250000476837163,2.2699999809265137,
2002-07-22,33.471939086914055,9.125311851501463,,6.489999771118164,11.079228401184082,2.683333396911621,12.227645874023438,8.420000076293945,13.599059104919435,2.2246336936950684,8.536459922790527,12.344574928283693,24.627613067626953,1.2000000476837158,4.4176201820373535,10.017212867736816,21.521238327026367,3.1800000667572017,2.490000009536743,
2002-07-23,34.31949996948242,8.840145111083984,,5.989999771118164,10.833023071289062,2.7424180507659908,11.90389919281006,8.149999618530272,13.427116394042967,1.7183377742767334,8.321283340454103,12.190187454223633,24.20054626464844,1.1799999475479126,4.633444309234619,9.791316032409668,20.73148536682129,3.259999990463257,2.3299999237060547,
2002-07-24,36.76387023925781,9.538800239562988,,5.71999979019165,11.414962768554688,3.063481569290161,12.780505180358887,8.460000038146973,14.771391868591307,1.87943172454834,9.659412384033203,11.696157455444336,25.979999542236328,1.1399999856948853,4.775077819824219,10.331985473632812,20.598072052001953,3.4574999809265137,2.150000095367432,
2002-07-25,36.834510803222656,10.72794246673584,,5.880000114440918,10.997162818908693,2.9430828094482417,11.669806480407715,7.860000133514403,14.380610466003418,1.357794165611267,9.380351066589355,10.368452072143556,26.780750274658203,1.0499999523162842,4.81104850769043,10.702313423156738,21.86276626586914,3.1375000476837163,1.9900000095367432,
2002-07-26,37.11087036132813,11.021662712097168,,6.050000190734862,11.094146728515623,2.9821012020111084,12.197761535644533,7.820000171661378,14.552555084228516,1.1966993808746338,9.548462867736816,10.689569473266602,26.3002986907959,1.100000023841858,4.9459381103515625,10.331985473632812,22.67388916015625,3.125,2.039999961853028,
2002-07-29,38.89502334594727,11.3068265914917,,5.860000133514403,12.287871360778807,3.120336532592773,12.755599975585938,8.149999618530272,15.287216186523438,1.6876530647277832,10.049420356750488,11.31328582763672,27.24933624267578,1.2400000095367432,5.386575222015381,11.0726318359375,23.052770614624023,3.25,2.299999952316284,
2002-07-30,38.535743713378906,11.520705223083494,,5.960000038146973,12.70567226409912,3.134828805923462,12.421895980834961,8.449999809265138,15.41226863861084,1.62628436088562,10.133475303649902,11.442968368530273,26.30623435974121,1.1200000047683716,5.310138702392578,10.813409805297852,23.1861629486084,3.547499895095825,2.5,
